Bacteria,Country,Resistance,Tested_isolates,PeriodFrom,PeriodTill,Antibiotics,lat,long
Klebsiella Pneumoniae,Slovakia,0.7,432,2011,2011,Carbapenems,48.15,17.1167
Klebsiella Pneumoniae,Slovenia,0,232,2011,2011,Carbapenems,46.05,14.5
Klebsiella Pneumoniae,Spain,0.3,1144,2011,2011,Carbapenems,40.4333,-3.7
Klebsiella Pneumoniae,Sweden,0,900,2011,2011,Carbapenems,59.35,18.0667
Klebsiella Pneumoniae,Switzerland,1,9433,2012,2012,Carbapenems,46.8333,8.3333
Klebsiella Pneumoniae,Switzerland,1,706,2013,2013,Carbapenems,46.8333,8.3333
Klebsiella Pneumoniae,Macedonia,0,35,2013,2013,Carbapenems,41.6,21.7
Klebsiella Pneumoniae,Macedonia,0,22,2013,2013,Carbapenems,41.6,21.7
Klebsiella Pneumoniae,Turkey,11,1083,2013,2013,Carbapenems,39.9167,32.8333
Klebsiella Pneumoniae,Turkey,0,18,2013,2013,Carbapenems,39.9167,32.8333
Klebsiella Pneumoniae,United Kingdom,0.4,825,2011,2011,Carbapenems,51.5,-0.1167
Klebsiella Pneumoniae,International,4.7,1495,2008,2008,Carbapenems,,
Klebsiella Pneumoniae,International,6.6,1495,2008,2008,Carbapenems,,
Klebsiella Pneumoniae,Bangladesh,0,45,2007,2010,Carbapenems,23.7,90.35
Klebsiella Pneumoniae,Bhutan,0,40,2011,2012,Carbapenems,27.417,90.435
Klebsiella Pneumoniae,India,1.4,144,2005,2007,Carbapenems,21,78
Klebsiella Pneumoniae,India,52,256,2000,2009,Carbapenems,21,78
Klebsiella Pneumoniae,India,39.4,104,2007,2010,Carbapenems,21,78
Klebsiella Pneumoniae,India,36.5,104,2007,2010,Carbapenems,21,78
Klebsiella Pneumoniae,India,0,239,2011,2011,Carbapenems,21,78
Klebsiella Pneumoniae,India,29.6,27,2006,2008,Carbapenems,21,78
Klebsiella Pneumoniae,India,7.8,125,2011,2012,Carbapenems,21,78
Klebsiella Pneumoniae,India,7.6,689,2009,2009,Carbapenems,21,78
Klebsiella Pneumoniae,India,55,104,2004,2009,Carbapenems,21,78
Klebsiella Pneumoniae,India,14.4,90,2008,2008,Carbapenems,21,78
Klebsiella Pneumoniae,India,0,99,2010,2010,Carbapenems,21,78
Klebsiella Pneumoniae,India,18.6,327,2008,2009,Carbapenems,21,78
Klebsiella Pneumoniae,India,2,177,2012,2012,Carbapenems,21,78
Klebsiella Pneumoniae,India,2,107,2007,2009,Carbapenems,21,78
Klebsiella Pneumoniae,India,0,80,2005,2005,Carbapenems,21,78
Klebsiella Pneumoniae,Myanmar,8,58,2012,2012,Carbapenems,22,96
Klebsiella Pneumoniae,Nepal,0,19,2013,2013,Carbapenems,26.5333,86.7333
Klebsiella Pneumoniae,Sri Lanka,0,90,2009,2009,Carbapenems,7,81
Klebsiella Pneumoniae,Thailand,0.5,577,2012,2012,Carbapenems,13.75,100.4833
Klebsiella Pneumoniae,Thailand,1.3,21110,2012,2012,Carbapenems,13.75,100.4833
Klebsiella Pneumoniae,Thailand,1.3,20021,2012,2012,Carbapenems,13.75,100.4833
Klebsiella Pneumoniae,Thailand,2.1,3535,2012,2012,Carbapenems,13.75,100.4833
Klebsiella Pneumoniae,International network,0.9,213,2012,2012,Carbapenems,,
Klebsiella Pneumoniae,International network,1.4,213,2012,2012,Carbapenems,,
Klebsiella Pneumoniae,International network,5.7,88,2012,2012,Carbapenems,,
Klebsiella Pneumoniae,International network,10.2,88,2012,2012,Carbapenems,,
Klebsiella Pneumoniae,Australia,0.5,396,2011,2011,Carbapenems,-35.308,149.1245
Klebsiella Pneumoniae,Australia,1,396,2011,2011,Carbapenems,-35.308,149.1245
Klebsiella Pneumoniae,Brunei Darussalam,0.3,1038,2012,2012,Carbapenems,4.8903,114.9422
Klebsiella Pneumoniae,Brunei Darussalam,0.8,1038,2012,2012,Carbapenems,4.8903,114.9422
Klebsiella Pneumoniae,Cambodia,3,34,2012,2012,Carbapenems,11.55,104.9167
Klebsiella Pneumoniae,Cambodia,2.1,41,2007,2010,Carbapenems,11.55,104.9167
Klebsiella Pneumoniae,China,7.1,54671,2012,2012,Carbapenems,35,103
Klebsiella Pneumoniae,China,7.7,100805,2012,2012,Carbapenems,35,103
Klebsiella Pneumoniae,Fiji,0.7,2175,2012,2012,Carbapenems,-18,179
Klebsiella Pneumoniae,Japan,0.2,70330,2012,2012,Carbapenems,35.6833,139.7667
Klebsiella Pneumoniae,Laos,0,4,2011,2012,Carbapenems,17.9667,102.6
Klebsiella Pneumoniae,Malaysia,0.5,22333,2012,2012,Carbapenems,3.1333,101.7
Klebsiella Pneumoniae,Malaysia,0.7,22965,2012,2012,Carbapenems,3.1333,101.7
Klebsiella Pneumoniae,Mongolia,10.9,92,2011,2011,Carbapenems,46,105
Klebsiella Pneumoniae,New Zealand,0,366,2013,2013,Carbapenems,-42,174
Klebsiella Pneumoniae,Philippines,3.8,3696,2012,2012,Carbapenems,13,122
Klebsiella Pneumoniae,South Korea,0.3,7131,2011,2011,Carbapenems,37.55,126.9667
Klebsiella Pneumoniae,South Korea,3,2421,2012,2012,Carbapenems,37.55,126.9667
Klebsiella Pneumoniae,Singapore,0,198,2006,2007,Carbapenems,1.3,103.8
Klebsiella Pneumoniae,Belarus,3,65,2012,2012,Carbapenems,53.9167,27.55
Klebsiella Pneumoniae,International network,0.9,213,2012,2012,Carbapenems,,
Klebsiella Pneumoniae,International network,1.4,213,2012,2012,Carbapenems,,
Klebsiella Pneumoniae,International network,5.7,88,2012,2012,Carbapenems,,
Klebsiella Pneumoniae,International network,10.2,88,2012,2012,Carbapenems,,
Escherichia Coli,Algeria,17,236,2003,2005,Cephalosporins,28,2
Escherichia Coli,Benin,34,44,2012,2012,Cephalosporins,6.4972,2.605
Escherichia Coli,Botswana,28.4,67,2012,2012,Cephalosporins,-24.6583,25.9083
Escherichia Coli,Burkina Faso,36,220,2008,2009,Cephalosporins,12.3333,-1.6667
Escherichia Coli,Burundi,7.2,1645,2012,2012,Cephalosporins,-3.5,30
Escherichia Coli,Central African Republic,30,183,2012,2012,Cephalosporins,4.3667,18.5833
Escherichia Coli,Republic of the Congo,31,71,2012,2012,Cephalosporins,-4.2678,15.2919
Escherichia Coli,Ethiopia,53,138,2011,2012,Cephalosporins,9.0167,38.75
Escherichia Coli,Ethiopia,70,154,2011,2012,Cephalosporins,9.0167,38.75
Escherichia Coli,Ghana,23.5,88,2013,2013,Cephalosporins,5.55,-0.2
Escherichia Coli,Ghana,41,32,2013,2013,Cephalosporins,5.55,-0.2
Escherichia Coli,Guinea,100,1,2012,2012,Cephalosporins,9.5167,-13.7
Escherichia Coli,Guinea-Bissau,25,35,2013,2013,Cephalosporins,11.85,-15.5667
Escherichia Coli,Guinea-Bissau,33.3,35,2013,2013,Cephalosporins,11.85,-15.5667
Escherichia Coli,Kenya,20,15,2013,2013,Cephalosporins,-1.2667,36.8
Escherichia Coli,Kenya,87.2,109,2007,2009,Cephalosporins,-1.2667,36.8
Escherichia Coli,Lesotho,2,107,2012,2012,Cephalosporins,-29.4667,27.9333
Escherichia Coli,Madagascar,18.2,88,2006,2008,Cephalosporins,-20,47
Escherichia Coli,Malawi,0,1,2013,2013,Cephalosporins,-13.95,33.7
Escherichia Coli,Mauritania,10,10,2013,2013,Cephalosporins,18.15,-15.9667
Escherichia Coli,Mauritius,43.5,184,2012,2012,Cephalosporins,-20.2,57.5
Escherichia Coli,Namibia,12,2345,2012,2012,Cephalosporins,-22.57,17.0861
Escherichia Coli,Nigeria,10,310,2006,2008,Cephalosporins,8,10
Escherichia Coli,Nigeria,20,80,2003,2007,Cephalosporins,8,10
Escherichia Coli,Nigeria,37.5,32,2007,2007,Cephalosporins,8,10
Escherichia Coli,Nigeria,34.4,32,2007,2007,Cephalosporins,8,10
Escherichia Coli,Nigeria,28.1,32,2007,2007,Cephalosporins,8,10
Escherichia Coli,Nigeria,11.4,128,2007,2007,Cephalosporins,8,10
Escherichia Coli,Nigeria,2.3,364,2007,2008,Cephalosporins,8,10
Escherichia Coli,Nigeria,0,31,2004,2009,Cephalosporins,8,10
Escherichia Coli,Nigeria,64.3,42,2009,2010,Cephalosporins,8,10
Escherichia Coli,Nigeria,28.9,66,2009,2010,Cephalosporins,8,10
Escherichia Coli,Nigeria,3,32,2009,2010,Cephalosporins,8,10
Escherichia Coli,Rwanda,38.3,94,2009,2009,Cephalosporins,-1.94,29.8739
Escherichia Coli,Rwanda,5.9,102,2009,2009,Cephalosporins,-1.94,29.8739
Escherichia Coli,South Africa,7,503,2007,2007,Cephalosporins,-30,25
Escherichia Coli,South Africa,7.6,473,2004,2009,Cephalosporins,-30,25
Escherichia Coli,South Africa,10.2,431,2005,2006,Cephalosporins,-30,25
Escherichia Coli,Uganda,0,9,2012,2012,Cephalosporins,1.0667,31.8833
Escherichia Coli,Tanzania,4.7,64,2004,2004,Cephalosporins,-6.307,34.854
Escherichia Coli,Zambia,37.4,107,2012,2012,Cephalosporins,-15.4167,28.2833
Escherichia Coli,Argentina,5.1,30484,2010,2010,Cephalosporins,-34.6,-58.3833
Escherichia Coli,Brazil,0,247,2010,2010,Cephalosporins,-15.7833,-47.8667
Escherichia Coli,Canada,6.5,646,2011,2011,Cephalosporins,45.4,-75.6667
Escherichia Coli,Canada,9.4,646,2011,2013,Cephalosporins,45.4,-75.6667
Escherichia Coli,Chile,36.8,76,2004,2007,Cephalosporins,-33.4333,-70.6667
Escherichia Coli,Chile,23.8,496,2008,2010,Cephalosporins,-33.4333,-70.6667
Escherichia Coli,Colombia,4.7,254,2005,2008,Cephalosporins,4.5833,-74.0667
Escherichia Coli,Colombia,11.8,254,2005,2008,Cephalosporins,4.5833,-74.0667
Escherichia Coli,Colombia,18.5,254,2005,2008,Cephalosporins,4.5833,-74.0667
Escherichia Coli,Colombia,20.2,89,2004,2007,Cephalosporins,4.5833,-74.0667
Escherichia Coli,Cuba,42.9,179,2009,2009,Cephalosporins,23.1333,-82.3833
Escherichia Coli,Dominican Republic,33,2812,2009,2009,Cephalosporins,19,-70.6667
Escherichia Coli,Ecuador,15.1,9259,2010,2010,Cephalosporins,-0.15,-78.35
Escherichia Coli,Guatemala,39.8,1607,2010,2010,Cephalosporins,14.6133,-90.5353
Escherichia Coli,Honduras,36.7,3010,2010,2010,Cephalosporins,14.1,-87.2167
Escherichia Coli,Jamaica,8,25,2004,2007,Cephalosporins,18.1824,-77.3218
Escherichia Coli,Mexico,55.7,165,2004,2007,Cephalosporins,19,-99.1333
Escherichia Coli,Mexico,68.3,136,2004,2007,Cephalosporins,19,-99.1333
Escherichia Coli,Mexico,48.4,316,2008,2010,Cephalosporins,19,-99.1333
Escherichia Coli,Mexico,34,238,2004,2007,Cephalosporins,19,-99.1333
Escherichia Coli,Mexico,32.2,563,2005,2010,Cephalosporins,19,-99.1333
Escherichia Coli,Mexico,41.7,563,2005,2010,Cephalosporins,19,-99.1333
Escherichia Coli,Nicaragua,48.1,271,2010,2010,Cephalosporins,13,-85
Escherichia Coli,Panama,9.7,2318,2010,2010,Cephalosporins,8.9833,-79.5167
Escherichia Coli,Panama,9,4321,2011,2012,Cephalosporins,8.9833,-79.5167
Escherichia Coli,Paraguay,1.4,1601,2010,2010,Cephalosporins,-25.266,-57.6667
Escherichia Coli,Peru,24.8,1009,2010,2010,Cephalosporins,-12.0433,-77.0283
Escherichia Coli,Peru,50,3298,2012,2012,Cephalosporins,-12.0433,-77.0283
Escherichia Coli,Trinidad and Tobago,9.4,716,2004,2007,Cephalosporins,10.6667,-61.5167
Escherichia Coli,United States,0,0,1996,1996,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,0,0,1997,1997,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,0,0,1998,1998,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,0.7,2,1999,1999,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,0.5,2,2000,2000,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,1.1,3,2001,2001,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,1,4,2002,2002,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,0.6,1,2003,2003,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,1.8,3,2004,2004,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,1.5,3,2005,2005,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,2.1,5,2006,2006,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,2.1,4,2007,2007,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,1.2,2,2008,2008,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,2.1,4,2009,2009,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,1.2,2,2010,2010,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,1.2,2,2011,2011,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,2.4,4,2012,2012,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,2.8,5,2013,2013,Cephalosporins,38.8833,-77.0167
Escherichia Coli,United States,14.6,9443,2009,2010,Cephalosporins,38.8833,-77.0167
Escherichia Coli,Uruguay,0,253,2007,2008,Cephalosporins,-34.8833,-56.1667
Escherichia Coli,Venezuela ,12.5,4114,2010,2010,Cephalosporins,10.5,-66.9667
Escherichia Coli,International,26.8,504,2008,2008,Cephalosporins,,
Escherichia Coli,International,9,1517,2008,2010,Cephalosporins,,
Escherichia Coli,International,23.9,1517,2008,2010,Cephalosporins,,
Escherichia Coli,Bahrain,55,3795,2012,2012,Cephalosporins,26.0275,50.55
Escherichia Coli,Egypt,38.7,315,2002,2010,Cephalosporins,26,30
Escherichia Coli,Egypt,50.1,315,2002,2010,Cephalosporins,26,30
Escherichia Coli,Iran,41,885,2012,2012,Cephalosporins,32,53
Escherichia Coli,Iraq,9.6,73,2005,2005,Cephalosporins,33.3333,44.4333
Escherichia Coli,Iraq,32.7,49,2012,2012,Cephalosporins,33.3333,44.4333
Escherichia Coli,Jordan,22.5,113,2008,2008,Cephalosporins,31.95,35.9333
Escherichia Coli,Jordan,31,84,2003,2005,Cephalosporins,31.95,35.9333
Escherichia Coli,Kuwait,28,54,2005,2009,Cephalosporins,29.3697,47.9783
Escherichia Coli,Kuwait,17,1745,2005,2009,Cephalosporins,29.3697,47.9783
Escherichia Coli,Kuwait,27,770,2005,2007,Cephalosporins,29.3697,47.9783
Escherichia Coli,Lebanon,18.6,628,2000,2009,Cephalosporins,33.9,35.5333
Escherichia Coli,Lebanon,33,3811,2010,2011,Cephalosporins,33.9,35.5333
Escherichia Coli,Lebanon,24,3811,2010,2011,Cephalosporins,33.9,35.5333
Escherichia Coli,Lebanon,25,36,2003,2005,Cephalosporins,33.9,35.5333
Escherichia Coli,Morocco,78,17,2012,2012,Cephalosporins,32,-6
Escherichia Coli,Morocco,21.7,32,2004,2008,Cephalosporins,32,-6
Escherichia Coli,Morocco,31.9,32,2004,2008,Cephalosporins,32,-6
Escherichia Coli,Morocco,33,52,2003,2005,Cephalosporins,32,-6
Escherichia Coli,Morocco,8.8,80,2005,2009,Cephalosporins,32,-6
Escherichia Coli,Morocco,15,221,2005,2007,Cephalosporins,32,-6
Escherichia Coli,Morocco,2,192,2001,2005,Cephalosporins,32,-6
Escherichia Coli,Morocco,1.3,767,2004,2009,Cephalosporins,32,-6
Escherichia Coli,Oman,63,1360,2012,2012,Cephalosporins,23.6,58.55
Escherichia Coli,Pakistan,12.6,670,2011,2012,Cephalosporins,33.6667,73.1667
Escherichia Coli,Pakistan,94,110,2007,2007,Cephalosporins,33.6667,73.1667
Escherichia Coli,Pakistan,42,50,2006,2006,Cephalosporins,33.6667,73.1667
Escherichia Coli,Pakistan,62.3,53,2007,2008,Cephalosporins,33.6667,73.1667
Escherichia Coli,Pakistan,71.7,53,2007,2008,Cephalosporins,33.6667,73.1667
Escherichia Coli,Pakistan,71.7,53,2007,2008,Cephalosporins,33.6667,73.1667
Escherichia Coli,Pakistan,46.3,296,2002,2005,Cephalosporins,33.6667,73.1667
Escherichia Coli,Pakistan,62.8,38,2004,2006,Cephalosporins,33.6667,73.1667
Escherichia Coli,Pakistan,84.2,101,2006,2007,Cephalosporins,33.6667,73.1667
Escherichia Coli,Pakistan,30,180,2010,2010,Cephalosporins,33.6667,73.1667
Escherichia Coli,Pakistan,88,100,2011,2011,Cephalosporins,33.6667,73.1667
Escherichia Coli,Pakistan,26.1,144,2004,2006,Cephalosporins,33.6667,73.1667
Escherichia Coli,Pakistan,29.6,144,2004,2006,Cephalosporins,33.6667,73.1667
Escherichia Coli,Pakistan,51,59,2011,2011,Cephalosporins,33.6667,73.1667
Escherichia Coli,Qatar,27.8,97,2007,2008,Cephalosporins,25.3,51.5167
Escherichia Coli,Saudi Arabia,18.3,20268,2007,2011,Cephalosporins,24,45
Escherichia Coli,Saudi Arabia,33.3,339,2009,2011,Cephalosporins,24,45
Escherichia Coli,Saudi Arabia,8.1,2508,2009,2009,Cephalosporins,24,45
Escherichia Coli,Saudi Arabia,7.4,71.4,2009,2009,Cephalosporins,24,45
Escherichia Coli,Saudi Arabia,61,392,2004,2009,Cephalosporins,24,45
Escherichia Coli,Saudi Arabia,5.2,166,2003,2009,Cephalosporins,24,45
Escherichia Coli,Saudi Arabia,15.7,690,2004,2005,Cephalosporins,24,45
Escherichia Coli,Saudi Arabia,4.8,4813,2004,2005,Cephalosporins,24,45
Escherichia Coli,Saudi Arabia,19.5,308,2010,2011,Cephalosporins,24,45
Escherichia Coli,Saudi Arabia,23.8,294,2010,2011,Cephalosporins,24,45
Escherichia Coli,Saudi Arabia,49,39,2009,2009,Cephalosporins,24,45
Escherichia Coli,Saudi Arabia,10.4,173,2003,2006,Cephalosporins,24,45
Escherichia Coli,Saudi Arabia,15,173,2003,2006,Cephalosporins,24,45
Escherichia Coli,Sudan,64,232,2011,2011,Cephalosporins,15,32
Escherichia Coli,Sudan,35,232,2011,2011,Cephalosporins,15,32
Escherichia Coli,Syrian Arab Republic,48,107,2011,2011,Cephalosporins,33.5,36.3
Escherichia Coli,Syrian Arab Republic,49,107,2011,2011,Cephalosporins,33.5,36.3
Escherichia Coli,Syrian Arab Republic,52.3,107,2011,2011,Cephalosporins,33.5,36.3
Escherichia Coli,Tunisia,21,15175,1999,2005,Cephalosporins,34,9
Escherichia Coli,Tunisia,11,194,2003,2005,Cephalosporins,34,9
Escherichia Coli,Tunisia,2,192,2001,2005,Cephalosporins,34,9
Escherichia Coli,Tunisia,5,43,2009,2009,Cephalosporins,34,9
Escherichia Coli,United Arab Emirates,22,5276,2012,2012,Cephalosporins,24.4667,54.3667
Escherichia Coli,United Arab Emirates,26.7,1355,1994,2005,Cephalosporins,24.4667,54.3667
Escherichia Coli,United Arab Emirates,39,83,2005,2006,Cephalosporins,24.4667,54.3667
Escherichia Coli,International network,17.9,374,2012,2012,Cephalosporins,,
Escherichia Coli,International network,28.3,374,2012,2012,Cephalosporins,,
Escherichia Coli,International network,18.5,621,2012,2012,Cephalosporins,,
Escherichia Coli,International network,30.3,621,2012,2012,Cephalosporins,,
Escherichia Coli,Austria,9.1,3160,2011,2011,Cephalosporins,48.2,16.35
Escherichia Coli,Belgium,6,3985,2011,2011,Cephalosporins,50.85,4.35
Escherichia Coli,Bosnia and Herzegovina,1.5,21918,2001,2003,Cephalosporins,44,18
Escherichia Coli,Bosnia and Herzegovina,1.1,1618,2004,2004,Cephalosporins,44,18
Escherichia Coli,Bulgaria,22.9,179,2011,2011,Cephalosporins,42.75,25.5
Escherichia Coli,Croatia,6,19274,2012,2012,Cephalosporins,45.8,16
Escherichia Coli,Cyprus,36.2,138,2011,2011,Cephalosporins,35,33
Escherichia Coli,Czech Republic,11.4,2684,2011,2011,Cephalosporins,49.75,15.75
Escherichia Coli,Denmark,8.5,2532,2011,2011,Cephalosporins,55.72,12.57
Escherichia Coli,Estonia,12.2,90,2011,2011,Cephalosporins,59,26
Escherichia Coli,Finland,5.1,2419,2011,2011,Cephalosporins,64,26
Escherichia Coli,France,8.2,8479,2011,2011,Cephalosporins,47,2
Escherichia Coli,Georgia,9,11,2003,2004,Cephalosporins,41.7167,44.7833
Escherichia Coli,Germany,8,3642,2011,2011,Cephalosporins,52.5167,13.3833
Escherichia Coli,Greece,14.9,1435,2011,2011,Cephalosporins,39,22
Escherichia Coli,Hungary,15.1,1224,2011,2011,Cephalosporins,47.4333,19.25
Escherichia Coli,Iceland,6.2,130,2011,2011,Cephalosporins,65,-18
Escherichia Coli,Ireland,9,2166,2011,2011,Cephalosporins,53,-8
Escherichia Coli,Israel,4.6,174,2001,2006,Cephalosporins,31,35
Escherichia Coli,Israel,7.7,56,2001,2006,Cephalosporins,31,35
Escherichia Coli,Israel,0,13,2001,2006,Cephalosporins,31,35
Escherichia Coli,Israel,2.2,1560,1997,2004,Cephalosporins,31,35
Escherichia Coli,Israel,0,94,1995,2004,Cephalosporins,31,35
Escherichia Coli,Italy,19.8,1870,2011,2011,Cephalosporins,41.9,12.4833
Escherichia Coli,Latvia,15.9,132,2011,2011,Cephalosporins,57,25
Escherichia Coli,Lithuania,7,385,2011,2011,Cephalosporins,55,24
Escherichia Coli,Luxembourg,8.2,353,2011,2011,Cephalosporins,49.6117,6.13
Escherichia Coli,Malta,12.8,219,2011,2011,Cephalosporins,35.8833,14.5
Escherichia Coli,Netherlands,5.7,4408,2011,2011,Cephalosporins,52.3167,5.55
Escherichia Coli,Norway,3.6,2523,2011,2011,Cephalosporins,61,8
Escherichia Coli,Poland,11.7,938,2011,2011,Cephalosporins,52.2167,21.0333
Escherichia Coli,Portugal,11.3,1901,2011,2011,Cephalosporins,38.7,-9.1833
Escherichia Coli,Moldova,28,4788,2012,2012,Cephalosporins,47,28.9167
Escherichia Coli,Romania,22,91,2011,2011,Cephalosporins,44.4167,26.1
Escherichia Coli,Russian Federation,13.1,761,2011,2012,Cephalosporins,60,90
Escherichia Coli,Russian Federation,22.9,761,2011,2012,Cephalosporins,60,90
Escherichia Coli,Serbia,32,195,2013,2013,Cephalosporins,44.8,20.4667
Escherichia Coli,Serbia,21.3,145,2012,2012,Cephalosporins,44.8,20.4667
Escherichia Coli,Slovakia,31,738,2011,2011,Cephalosporins,48.15,17.1167
Escherichia Coli,Slovenia,8.8,1002,2011,2011,Cephalosporins,46.05,14.5
Escherichia Coli,Spain,12,5600,2011,2011,Cephalosporins,40.4333,-3.7
Escherichia Coli,Sweden,3,3939,2011,2011,Cephalosporins,59.35,18.0667
Escherichia Coli,Switzerland,7,3983,2013,2013,Cephalosporins,46.8333,8.3333
Escherichia Coli,Switzerland,8.2,68965,2012,2012,Cephalosporins,46.8333,8.3333
Escherichia Coli,Macedonia,49,59,2013,2013,Cephalosporins,41.6,21.7
Escherichia Coli,Macedonia,47.4,19,2013,2013,Cephalosporins,41.6,21.7
Escherichia Coli,Turkey,43.3,1306,2011,2011,Cephalosporins,39.9167,32.8333
Escherichia Coli,Turkey,44,2223,2013,2013,Cephalosporins,39.9167,32.8333
Escherichia Coli,United Kingdom,9.6,5182,2011,2011,Cephalosporins,51.5,-0.1167
Escherichia Coli,International,14,1491,2008,2008,Cephalosporins,,
Escherichia Coli,International,14,1491,2008,2008,Cephalosporins,,
Escherichia Coli,International,14.7,1491,2008,2008,Cephalosporins,,
Escherichia Coli,Bangladesh,53.5,114,2010,2011,Cephalosporins,23.7,90.35
Escherichia Coli,Bangladesh,59,475,2011,2012,Cephalosporins,23.7,90.35
Escherichia Coli,Bangladesh,50.2,203,2009,2011,Cephalosporins,23.7,90.35
Escherichia Coli,Bangladesh,63.1,203,2009,2011,Cephalosporins,23.7,90.35
Escherichia Coli,Bangladesh,16.2,80,2010,2010,Cephalosporins,23.7,90.35
Escherichia Coli,Bangladesh,12.5,80,2010,2010,Cephalosporins,23.7,90.35
Escherichia Coli,Bhutan,16,410,2011,2012,Cephalosporins,27.417,90.435
Escherichia Coli,Bhutan,20.4,1405,2011,2012,Cephalosporins,27.417,90.435
Escherichia Coli,India,61,1103,2000,2009,Cephalosporins,21,78
Escherichia Coli,India,25,180,2011,2011,Cephalosporins,21,78
Escherichia Coli,India,37.3,180,2011,2011,Cephalosporins,21,78
Escherichia Coli,India,27.8,54,2005,2005,Cephalosporins,21,78
Escherichia Coli,India,28.7,181,2006,2006,Cephalosporins,21,78
Escherichia Coli,India,40.4,171,2012,2012,Cephalosporins,21,78
Escherichia Coli,India,64.8,250,2006,2007,Cephalosporins,21,78
Escherichia Coli,India,95,239,2011,2011,Cephalosporins,21,78
Escherichia Coli,India,74.1,46,2011,2012,Cephalosporins,21,78
Escherichia Coli,India,60.5,1817,2009,2009,Cephalosporins,21,78
Escherichia Coli,India,20,120,2008,2008,Cephalosporins,21,78
Escherichia Coli,India,87.5,56,2004,2009,Cephalosporins,21,78
Escherichia Coli,India,33.5,340,2008,2008,Cephalosporins,21,78
Escherichia Coli,India,84.9,106,2010,2010,Cephalosporins,21,78
Escherichia Coli,India,60.5,2671,2008,2009,Cephalosporins,21,78
Escherichia Coli,India,42,307,2012,2012,Cephalosporins,21,78
Escherichia Coli,India,63,229,2012,2012,Cephalosporins,21,78
Escherichia Coli,India,64,234,2012,2012,Cephalosporins,21,78
Escherichia Coli,India,73,149,2007,2009,Cephalosporins,21,78
Escherichia Coli,India,74.8,210,2004,2005,Cephalosporins,21,78
Escherichia Coli,India,68.1,210,2004,2005,Cephalosporins,21,78
Escherichia Coli,India,50,210,2004,2005,Cephalosporins,21,78
Escherichia Coli,India,78.6,210,2004,2005,Cephalosporins,21,78
Escherichia Coli,India,86.8,210,2004,2005,Cephalosporins,21,78
Escherichia Coli,India,56,527,2010,2010,Cephalosporins,21,78
Escherichia Coli,India,20.3,103,2009,2010,Cephalosporins,21,78
Escherichia Coli,India,50,62,2012,2012,Cephalosporins,21,78
Escherichia Coli,India,19,1054,2007,2007,Cephalosporins,21,78
Escherichia Coli,India,16,1054,2007,2007,Cephalosporins,21,78
Escherichia Coli,India,40,38,2011,2011,Cephalosporins,21,78
Escherichia Coli,Indonesia,10,29,2002,2008,Cephalosporins,-6.175,106.8283
Escherichia Coli,Indonesia,13.8,29,2002,2008,Cephalosporins,-6.175,106.8283
Escherichia Coli,Myanmar,68,1444,2012,2012,Cephalosporins,22,96
Escherichia Coli,Nepal,37.9,140,2012,2012,Cephalosporins,26.5333,86.7333
Escherichia Coli,Sri Lanka,58.9,117,2009,2009,Cephalosporins,7,81
Escherichia Coli,Thailand,30.5,36545,2012,2012,Cephalosporins,13.75,100.4833
Escherichia Coli,Thailand,41.4,22236,2012,2012,Cephalosporins,13.75,100.4833
Escherichia Coli,Thailand,42.7,39949,2012,2012,Cephalosporins,13.75,100.4833
Escherichia Coli,International network,17.9,374,2012,2012,Cephalosporins,,
Escherichia Coli,International network,28.3,374,2012,2012,Cephalosporins,,
Escherichia Coli,International network,18.5,374,2012,2012,Cephalosporins,,
Escherichia Coli,International network,30.3,621,2012,2012,Cephalosporins,,
Escherichia Coli,Australia,5.8,1827,2011,2011,Cephalosporins,-35.308,149.1245
Escherichia Coli,Australia,9.6,1827,2011,2011,Cephalosporins,-35.308,149.1245
Escherichia Coli,Brunei Darussalam,6.1,1345,2012,2012,Cephalosporins,4.8903,114.9422
Escherichia Coli,Brunei Darussalam,6.8,1345,2012,2012,Cephalosporins,4.8903,114.9422
Escherichia Coli,Cambodia,49,63,2013,2013,Cephalosporins,11.55,104.9167
Escherichia Coli,Cambodia,43,122,2013,2013,Cephalosporins,11.55,104.9167
Escherichia Coli,China,31.3,146497,2012,2012,Cephalosporins,35,103
Escherichia Coli,China,65.6,113892,2012,2012,Cephalosporins,35,103
